sobject_id,teff,e_teff,logg,e_logg,Al_fe,fe_h,Mg_fe,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,bp_rp,bp_g,g_rp,dr2_radial_velocity,dr2_radial_velocity_error,phot_bp_mean_mag,phot_g_mean_mag,phot_rp_mean_mag,R_Rzphi,phi_Rzphi,z_Rzphi,vR_Rzphi,vT_Rzphi,vz_Rzphi,J_R,L_Z,J_Z,Energy,par/error,distance,lz
170510005801205,4838.8896,123.43117642350217,2.1178496,0.3434415047995828,-0.5956517791748048,-0.43476105,-0.0164972305297848,281.9507706815537,0.012613326,-27.85505343248061,0.011743118,0.2913379586144466,0.013235249,-19.876600665644403,0.015084124,-18.760316178458872,0.0131889405,1.3930578,0.6288729,0.76418495,259.6332,0.49195972,13.09937,12.470497,11.706312,5.044839787749727,0.0820861114580236,-0.6420703136414824,-353.2301498291084,-76.82810667945591,109.57982786298372,1520.820138192319,-387.5854893939998,60.55040385354972,-136519.87428953435,22.01227635494025,3.432439784900768,-469.43166271228205
170510007301344,4267.5366,108.73658716846688,0.95259506,0.4320647802003357,0.1785305404663084,-1.7085605,0.0982183456420902,292.69288366578166,0.010770249,-43.77197439453626,0.00904679,0.1075182150150458,0.01262815,-6.341305840065848,0.012086706,-2.191466670632904,0.009191324,1.5233383,0.70701694,0.8163214,-319.09995,1.0318129,13.378198,12.671181,11.854859,0.8678285656078135,-0.9560257324683588,-3.640747726552832,17.486117436317265,227.17312063940275,350.7414424006377,1420.5573160419194,197.14732342914365,1063.4044915395923,-123321.29277700778,8.514169931070331,9.300749643770247,129.41274530452054
170512000101291,4706.199,79.86844798294554,1.8919702,0.3521425179866483,-0.2342192268371583,-0.9865246,0.1589359283447269,158.20223977037367,0.014605723,-18.124012811281467,0.011709808,0.3156904227311398,0.018203238,17.800464752783753,0.019300032,-15.210754147601715,0.016208407,1.219121,0.5297098,0.68941116,118.17072,0.83734375,12.745859,12.216149,11.526738,8.912891749041421,-0.2895603536795045,1.7339111488463377,-349.1992721144243,-3.970703659573955,56.33342687380496,2547.7911512108635,-35.39045188530528,334.8326601777966,-114243.13057277056,17.342542174702093,3.167660239258059,-119.61063070625747
170512001301289,4368.4004,100.3118953305698,1.3862414,0.3658170063896894,0.0843585395812986,-0.5749321,0.0932234764099124,199.99618235102471,0.017406084,-24.84775947972224,0.014325069,0.1923307900531059,0.023368116,6.793817032645384,0.021136217,-10.774766863064327,0.01537024,1.5745707,0.73936176,0.8352089,140.91312,0.6187134,12.669538,11.930176,11.094967,6.39692527507287,-0.4559086225156482,2.8930569461693856,-301.75721389068497,-13.035326998562905,-113.04419054530112,1631.6289586064795,-83.38601274594681,158.6582277474923,-135838.4283387604,8.230479087535594,5.199375511970197,-290.82347184543966
170513002501298,4887.4434,117.99423596350614,2.0055008,0.2561948658881495,0.2084139251708983,-1.1400695,0.1629957199096683,158.5487445321106,0.006122043,-29.7216702970418,0.009793526,0.1646956275699878,0.012999695,-10.13380600309512,0.007850969,-2.138610682984277,0.01141235,1.1111107,0.4707775,0.6403332,369.59808,1.0825484,13.510854,13.040076,12.399743,9.376971251596087,-0.5131724551460751,2.1085653078091,219.4585380631094,-62.9775904053173,-0.5181626577633351,1004.4147624348428,-590.5390547254539,98.56277308760971,-147570.2729706841,12.669191667188175,6.071806609286258,-406.2818633614073
170513002501319,4538.7856,133.67794379626895,1.8354412,0.2956683334274921,-0.0471741294860841,-0.8597145,0.361258411407471,158.8134949317421,0.0066475896,-29.69726917400107,0.010860331,0.1213524223343448,0.012929196,-5.020185438422038,0.008922657,1.5183969161517064,0.01302393,1.4188137,0.64585304,0.77296066,400.89624,1.0752263,13.870603,13.22475,12.451789,9.913824005521455,-0.6074458627300008,2.6035379452177283,186.64274859599428,-36.06558257670912,134.24425878007514,1125.3220442230602,-357.5478383220952,322.28291250068054,-143009.9123783714,9.385921780004326,8.240461795190576,157.75507461682568
170513003001224,4597.3125,104.97979007853988,1.8104955,0.2786154675730015,-0.2005902862548829,-0.7754612,0.083431148529053,177.9903307609294,0.009085691,-28.607559384563885,0.007713787,0.1481346807982417,0.013636205,-11.552417213034692,0.014249485,-1.953069801239909,0.010202062,1.3628244,0.61228657,0.7505379,283.16165,1.5052543,13.855151,13.242865,12.492327,8.101668927404852,-0.567037136307909,2.923353882444508,199.21057685591816,-23.27869202255121,51.415902843757735,983.4808826374934,-188.59625582973035,114.5729703077369,-156863.53878035414,10.863336302016705,6.7506136619148105,72.95506047641452
170513003001260,4625.521,113.5802507433759,1.7346154,0.2993963291179547,-0.0632030105590821,-0.995841,0.1081146240234378,178.47733163798077,0.009610009,-28.459019788983287,0.007354004,0.2063634099779845,0.014357862,7.69999962457861,0.01671399,-7.29122277793396,0.009904299,1.3412657,0.59943295,0.74183273,124.278984,0.5145813,13.022075,12.422642,11.680809,7.91495588815707,-0.478265267999416,2.481301554239188,-296.0405520616807,22.06465187728499,-17.755795565024503,1565.3091555055505,174.6407462962528,157.65378125723825,-136319.8961301176,14.37285091457102,4.8458202939498,27.228090837038675
170513004001061,4669.2266,123.87849410979668,1.9325783,0.3479708736984007,-0.1433469390869142,-0.7106371,-0.016810035705566,214.00528094071532,0.014620346,-28.24736768913211,0.015672911,0.1800525609068747,0.016393146,5.316989589298405,0.017801464,-5.958730618571891,0.017942464,1.2694016,0.5590944,0.7103071,181.57565,3.3075237,13.536385,12.97729,12.266983,5.410476903455264,-0.4515625254215474,2.472093186192272,-288.314755406661,35.90700268816979,-46.096066135668174,1041.1429701432437,194.2740087166488,169.30149481869162,-152676.27351712043,10.983404949048504,5.553933778910325,-51.80032960830989
170513005401097,4474.938,88.43008760694377,1.1319457,0.4114395476905046,,-1.5055084,0.1649793624877933,283.8921717482417,0.016999029,-44.20739441280403,0.015822232,0.1742457094167739,0.01948264,-14.858025493186606,0.019527484,-2.062005449740472,0.01741162,1.4428654,0.65953255,0.7833328,151.75679,1.4170921,11.795087,11.135554,10.3522215,3.6648873034025793,-0.1703082669662182,-1.6096385829194046,-239.5444099900074,15.357715826639808,249.78699995369465,901.8222168833536,56.28429774231708,385.47777356118206,-155167.72095626843,8.943639538418505,5.739022231004411,-110.57122011853434
